"filename", "language", "Properties", "JSON with Comments", "JSON", "HTML", "Markdown", "SVG", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\.env", "Properties", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\.eslintrc.json", "JSON with Comments", 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 47
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\.prettierrc", "JSON", 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 21, 47
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\package.json", "JSON", 0, 0, 71, 0, 0, 0, 0, 0, 0, 1, 72
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\admin\mutations\add-admin.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\category\mutations\addCategory.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\category\mutations\deleteCategory.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\category\mutations\updateCategory.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\category\queries\getAllCategories.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 4, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getClosingStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getInStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer-stock\queries\getOutStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customerTransfer\mutations\transferCustomer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customerTransfer\queries\getTransfersByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 6, 29
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer\mutations\addCustomer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer\mutations\updateCustomer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\customer\queries\getAllCustomers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\mutations\addExpense.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\mutations\updateExpense.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\expense\queries\getExpensesByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\instance.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 27, 0, 3, 5, 35
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\mutations\createInvoice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\mutations\updateInvoice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getCreditInvoiceByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getInvoiceById.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 29, 0, 0, 5, 34
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\invoice\queries\getInvoicesByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 35, 0, 0, 8, 43
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\mutations\addItem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\mutations\updateItem.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\mutations\updatePrice.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\item\queries\getAllItems.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getClosingStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getInStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\salesman-stock\queries\getOutStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\summary\queries\getSummary.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\addSupplier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\mutations\updateSupplier.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supplier\queries\getAllSuppliers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\provideSupply.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\mutations\updateSupply.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getCreditSupplyByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 0, 0, 7, 35
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\supply\queries\getSupplyById.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\mutations\transferSalesman.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\transfer\queries\getTransfersByDate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\urls.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\createUser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 23, 0, 0, 4, 27
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\login.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUser.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\mutations\updateUserPassword.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllUsers.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\user\queries\getAllVansales.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getClosingStock.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getInvoiceRecords.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\api\warehouse\queries\getOutStocks.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 5, 31
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\helpers\conver-title.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 2, 28
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\message.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\nav-links.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 166, 0, 0, 10, 176
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\constants\status.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\contexts\auth-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 14, 88
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\lib\store\useMessage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 55, 0, 7, 62
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\components\login-form\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\account\templates\login-template.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 50
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\dashboard\table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 92, 0, 6, 98
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 3, 25
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\components\error-conatiner\styles.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 33, 0, 7, 40
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\error\templates\error-template.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 4, 0, 2, 6
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 5, 21
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-header\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 21, 0, 0, 4, 25
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 7, 81
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\nav-item\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 42, 0, 0, 7, 49
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 32, 0, 6, 38
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-body\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 5, 4, 39
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-container\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 5, 39
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar-footer\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 39, 0, 0, 7, 46
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 20, 0, 4, 24
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\components\navbar\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\nav\templates\nav\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 3, 8
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 41, 9, 90
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 8, 67
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\category-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 208, 13, 19, 240
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 45, 0, 7, 52
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\closing-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 177, 16, 18, 211
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 8, 65
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\in-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 61, 0, 8, 69
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 0, 0, 10, 61
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-stock-table\out-stocks\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 269, 8, 25, 302
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\form-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 87, 41, 10, 138
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 1, 8, 66
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 44, 0, 0, 1, 45
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-table\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 233, 13, 23, 269
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\customer-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 94, 1, 12, 107
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 138, 0, 16, 154
"c:\Users\rday6\OneDrive\Desktop\pos-frontend-mantine\src\modules\table\components\customer-transfer-table\add\invoice-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 151, 1, 17, 169
